Place,Temperature (Â°C),Humidity (%),Average Rainfall (mm),Soil Moisture (%)
Mysuru,34.7,49.0,54.4,13.8
Vijayapura,39.3,35.5,47.3,59.4
Mangaluru,16.8,38.4,60.3,25.8
Hubballi,32.8,31.2,130.6,26.8
Ballari,18.4,72.0,191.7,20.2
Hubballi,29.2,36.7,75.0,33.7
Chitradurga,31.9,55.1,156.2,12.0
Davangere,21.4,81.1,92.0,40.9
Mysuru,23.6,53.3,67.9,12.8
Tumakuru,29.0,89.4,67.8,19.6
Tumakuru,17.8,50.0,145.3,29.1
Ballari,29.4,33.3,62.2,25.4
Vijayapura,37.1,39.1,48.7,43.2
Chitradurga,34.3,30.8,59.1,25.3
Hubballi,18.1,45.3,171.3,35.1
Bidar,38.4,89.8,147.6,28.1
Tumakuru,39.8,68.9,143.9,33.7
Bengaluru,39.0,62.0,166.7,33.1
Belagavi,21.6,41.8,66.6,47.8
Mandya,38.1,44.3,91.1,47.4
Mysuru,26.9,65.7,151.3,45.1
Bengaluru,38.6,81.5,58.3,20.1
Raichur,20.0,30.6,187.8,37.8
Shivamogga,19.0,82.9,73.1,10.2
Kalaburagi,31.2,87.9,6.4,25.0
Belagavi,20.0,42.2,141.6,43.1
Davangere,26.5,75.3,49.2,24.2
Hassan,21.3,76.3,67.9,26.5
Mangaluru,16.9,55.2,90.3,14.2
Shivamogga,15.3,57.2,193.1,58.0
Raichur,37.0,60.9,174.8,40.0
Shivamogga,22.0,34.3,63.9,49.8
Mysuru,28.5,80.1,13.1,32.4
Mandya,28.8,85.2,191.2,49.3
Mysuru,23.8,45.3,197.0,27.4
Mangaluru,32.0,68.7,179.8,18.3
Davangere,16.4,71.3,107.3,37.7
Raichur,29.9,36.2,5.3,47.4
Hubballi,16.6,66.3,89.4,43.3
Mysuru,16.5,77.5,38.2,47.5
Vijayapura,39.1,41.5,105.1,16.3
Mysuru,31.2,44.3,37.2,26.2
Tumakuru,30.2,30.9,91.4,43.5
Davangere,38.5,63.2,36.4,25.7
Belagavi,27.3,32.0,43.3,23.4
Hassan,24.7,40.4,169.7,35.5
Vijayapura,17.5,30.6,73.3,43.9
Bidar,32.0,80.4,71.5,27.6
Chitradurga,21.3,62.8,17.8,10.1
Hubballi,37.9,67.1,57.0,24.2
Mysuru,30.9,83.9,96.6,42.7
Raichur,16.8,88.3,109.5,59.3
Kolar,22.7,74.4,172.5,43.0
Chitradurga,17.2,87.7,57.0,11.8
Davangere,22.1,73.3,178.2,29.9
Davangere,30.6,52.7,125.3,59.8
Raichur,16.4,69.9,20.8,26.3
Bengaluru,30.2,43.6,134.9,34.1
Davangere,23.4,85.1,115.9,28.1
Kolar,19.9,66.2,9.6,19.5
Kolar,30.6,32.1,145.7,52.3
Tumakuru,28.4,52.8,26.6,32.6
Bidar,17.8,80.3,65.7,47.9
Ballari,38.7,58.0,26.8,26.1
Bengaluru,38.2,70.2,194.6,31.3
Mangaluru,25.7,56.9,161.4,41.7
Shivamogga,20.0,34.0,180.6,14.0
Mysuru,29.3,60.1,148.0,35.2
Chitradurga,25.0,41.6,112.1,25.1
Vijayapura,24.2,62.2,90.7,39.8
Ballari,19.7,30.6,156.9,49.3
Ballari,22.6,68.4,44.4,13.9
Kolar,26.1,30.4,118.5,52.2
Hubballi,35.4,60.1,124.2,50.2
Davangere,33.5,34.9,146.6,46.3
Ballari,27.5,34.7,95.8,49.2
Tumakuru,17.1,72.6,192.4,29.0
Mysuru,27.7,35.5,123.1,53.9
Kolar,21.9,56.3,97.2,54.2
Mandya,23.9,74.2,15.1,44.5
Ballari,38.6,41.9,74.5,50.3
Kolar,26.4,50.3,31.8,56.2
Bengaluru,37.9,55.7,33.5,46.6
Raichur,32.7,44.5,23.0,25.2
Ballari,17.3,49.1,51.1,49.0
Kalaburagi,29.1,40.3,180.4,16.9
Vijayapura,23.9,83.9,74.3,58.8
Bidar,38.2,35.8,160.5,58.0
Kolar,30.7,76.7,43.5,42.2
Hassan,39.8,68.9,3.8,16.3
Bengaluru,24.0,66.0,133.4,53.3
Vijayapura,25.9,48.5,148.3,32.3
Kolar,34.6,42.3,189.2,42.9
Hubballi,23.2,53.0,22.5,35.1
Kalaburagi,18.9,54.5,8.5,26.7
Ballari,33.2,30.8,110.2,25.9
Raichur,29.5,77.3,78.4,49.1
Bidar,37.8,63.0,102.6,31.7
Kalaburagi,30.0,38.5,24.6,15.1
Chitradurga,17.5,35.1,102.5,58.0
Bidar,29.3,56.1,3.5,14.4
Davangere,18.2,65.0,60.7,37.6
Kolar,36.0,40.3,2.8,51.9
Mandya,26.5,85.0,143.5,55.6
Raichur,19.1,61.5,105.1,49.0
Bidar,17.8,33.1,147.7,13.2
Hassan,31.4,42.0,61.5,35.1
Chitradurga,22.9,59.3,170.8,36.9
Vijayapura,17.8,60.0,184.8,41.0
Ballari,31.3,50.4,110.3,37.0
Bidar,16.1,61.2,122.1,41.5
Davangere,31.6,61.7,43.9,31.8
Shivamogga,26.9,48.7,187.0,39.4
Mandya,39.1,35.0,91.2,40.7
Vijayapura,20.5,70.0,192.7,28.8
Tumakuru,32.8,51.9,140.9,41.2
Mandya,39.4,31.3,77.8,42.4
Davangere,35.6,51.4,189.5,34.8
Mysuru,33.2,54.9,32.5,23.5
Tumakuru,28.1,56.0,91.9,57.0
Bengaluru,27.3,80.9,27.9,49.7
Mangaluru,20.0,74.2,6.2,16.2
Ballari,15.3,33.0,89.8,30.0
Raichur,22.5,55.0,73.3,33.4
Hassan,16.1,59.1,19.8,27.3
Belagavi,15.9,42.8,83.8,19.7
Shivamogga,19.8,46.8,76.4,36.9
Vijayapura,27.9,60.0,170.1,27.1
Mandya,30.2,87.1,28.3,29.4
Kalaburagi,29.4,48.6,132.7,58.5
Vijayapura,18.7,47.7,150.1,49.9
Davangere,32.5,40.3,134.1,14.4
Bengaluru,15.3,44.8,196.9,45.6
Mandya,30.7,70.7,182.4,23.2
Tumakuru,38.8,76.3,34.2,25.2
Tumakuru,36.1,68.1,47.9,11.2
Raichur,24.1,30.9,185.2,30.4
Mysuru,31.3,61.7,146.2,35.1
Shivamogga,29.5,31.2,181.1,47.4
Tumakuru,20.9,83.4,177.3,42.1
Davangere,23.6,58.0,142.6,13.1
Kolar,23.2,74.4,97.0,50.8
Mandya,23.5,84.6,125.3,43.3
Shivamogga,25.2,56.5,58.2,44.8
Tumakuru,36.7,73.2,56.0,49.4
Hubballi,29.1,53.9,30.8,44.6
Hassan,39.7,57.8,198.6,35.4
Chitradurga,21.5,52.6,178.3,53.6
Kalaburagi,37.2,64.1,134.4,43.3
Tumakuru,29.5,33.2,182.7,20.3
Mangaluru,17.2,44.7,69.6,43.1
Davangere,36.8,60.7,31.9,36.4
Kalaburagi,22.1,33.4,33.3,50.2
Tumakuru,27.5,35.0,11.8,51.7
Vijayapura,29.5,66.3,177.3,34.5
Bengaluru,32.1,52.6,93.8,40.8
Bengaluru,37.1,37.0,57.8,51.4
Davangere,25.8,66.3,12.7,53.3
Davangere,22.2,63.4,196.9,40.2
Kalaburagi,15.8,31.5,84.1,16.7
Shivamogga,31.7,57.4,157.5,40.1
Bengaluru,30.7,42.6,114.7,34.1
Mangaluru,21.2,73.1,84.7,33.8
Mandya,28.7,30.6,136.0,35.3
Kalaburagi,26.4,61.5,112.6,57.5
Bengaluru,21.9,72.1,184.9,52.9
Hubballi,17.6,85.1,182.5,44.4
Mysuru,34.0,32.8,39.9,18.4
Hassan,19.8,33.4,188.6,47.6
Ballari,17.5,73.9,18.2,39.1
Hassan,36.8,47.5,184.0,57.4
Mysuru,23.9,88.2,100.1,28.4
Ballari,36.8,82.0,123.4,15.1
Ballari,16.7,79.4,105.7,16.2
Shivamogga,29.2,52.4,170.1,14.5
Mysuru,16.9,69.3,62.4,56.4
Kalaburagi,22.4,52.4,7.6,39.0
Tumakuru,24.0,35.8,42.5,19.6
Shivamogga,18.5,57.3,41.4,44.2
Belagavi,26.4,47.0,14.5,53.8
Chitradurga,32.6,57.9,24.8,23.3
Belagavi,22.6,77.3,116.0,17.6
Tumakuru,23.1,49.4,20.6,23.0
Chitradurga,18.5,51.1,24.7,25.7
Mysuru,21.0,83.4,169.9,17.9
Hassan,28.5,60.4,55.5,33.7
Tumakuru,15.5,43.0,159.2,34.3
Raichur,39.5,56.0,76.9,24.9
Mandya,34.9,55.0,111.5,39.8
Tumakuru,37.3,70.5,52.1,14.7
Chitradurga,23.7,81.1,49.4,28.1
Tumakuru,35.6,30.3,78.1,49.3
Mangaluru,20.3,58.7,63.2,15.0
Mangaluru,38.4,86.8,100.4,42.7
Shivamogga,22.5,40.6,175.7,29.7
Hubballi,25.8,47.3,72.2,37.9
Belagavi,32.4,89.4,198.4,27.5
Kalaburagi,34.3,87.8,13.7,26.1
Mysuru,28.3,42.1,24.2,18.4
Shivamogga,29.2,75.3,15.4,51.4
